Area,0,,1,,2,,3,,4,
Berry Forest,GOLDEEN,15-25,SEAKING,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Bond Bridge,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Cape Brink,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Celadon City,MAGIKARP,15-25,MAGIKARP,15-25,MAGIKARP,15-25,MAGIKARP,25-35,GRIMER,30-40
Cerulean Cave 1F,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Cerulean Cave B1F,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,GYARADOS,25-35
Cerulean City,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Cinnabar Island,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Five Island,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Five Isle Meadow,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Four Island,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Fuchsia City,GOLDEEN,15-25,SEAKING,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Green Path,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Icefall Cave Back Cavern,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Icefall Cave Entrance,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Kindle Road,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
