Area,0,,1,,2,
Berry Forest,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Bond Bridge,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Cape Brink,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Celadon City,MAGIKARP,5-15,MAGIKARP,5-15,MAGIKARP,5-15
Cerulean Cave 1F,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Cerulean Cave B1F,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Cerulean City,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Cinnabar Island,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Five Island,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Five Isle Meadow,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Four Island,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Fuchsia City,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Green Path,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Icefall Cave Entrance,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Icefall Cave Back Cavern,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Kindle Road,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Memorial Pillar,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
One Island,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Outcast Island,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Pallet Town,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Resort Gorgeous,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 4,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 6,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Route 10,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 11,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 12,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 13,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 19,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 20,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 21,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 22,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Route 23,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Route 24,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 25,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Ruin Valley,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
S.S. Anne,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Safari Zone Entrance,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Safari Zone Area 1 - East,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Safari Zone Area 2 - North,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Safari Zone Area 3 - West,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Seafoam Islands B3F,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Seafoam Islands B4F,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Tanoby Ruins,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Trainer Tower,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Treasure Beach,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Vermilion City,KRABBY,5-15,MAGIKARP,5-15,HORSEA,5-15
Viridian City,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Water Labyrinth,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
Water Path,KRABBY,5-15,MAGIKARP,5-15,KRABBY,5-15
