Area,0,,1,,2,,3,,4,
Berry Forest,GOLDEEN,15-25,SEAKING,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Bond Bridge,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Cape Brink,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Celadon City,MAGIKARP,15-25,MAGIKARP,15-25,MAGIKARP,15-25,MAGIKARP,25-35,GRIMER,30-40
Cerulean Cave 1F,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Cerulean Cave B1F,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,GYARADOS,25-35
Cerulean City,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Cinnabar Island,KRABBY,15-25,STARYU,15-25,GYARADOS,15-25,SLOWBRO,25-35,SLOWPOKE,25-35
Five Island,KRABBY,15-25,STARYU,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Five Isle Meadow,KRABBY,15-25,REMORAID,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Four Island,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Fuchsia City,GOLDEEN,15-25,SEAKING,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Green Path,KRABBY,15-25,REMORAID,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Icefall Cave Entrance,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Icefall Cave Back Cavern,KRABBY,15-25,STARYU,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Kindle Road,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Memorial Pillar,KRABBY,15-25,REMORAID,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
One Island,KRABBY,15-25,STARYU,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Outcast Island,KRABBY,15-25,REMORAID,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Pallet Town,KRABBY,15-25,STARYU,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Resort Gorgeous,KRABBY,15-25,REMORAID,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Route 4,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Route 6,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Route 10,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Route 11,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Route 12,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Route 13,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Route 19,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Route 20,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Route 21,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KINGLER,25-35,SLOWPOKE,25-35
Route 22,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Route 23,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Route 24,KRABBY,15-25,KRABBY,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Route 25,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
Ruin Valley,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,SLOWPOKE,15-25,SLOWPOKE,25-35
S.S. Anne,KRABBY,15-25,STARYU,15-25,GYARADOS,15-25,KRABBY,25-35,SLOWPOKE,25-35
Safari Zone Entrance,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,SLOWPOKE,15-35,DRAGONAIR,25-35
Safari Zone Area 1 - East,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,SLOWPOKE,15-35,DRAGONAIR,25-35
Safari Zone Area 2 - North,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,SLOWPOKE,15-35,DRAGONAIR,25-35
Safari Zone Area 3 - West,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,SLOWPOKE,15-35,DRAGONAIR,25-35
Seafoam Islands B3F,KRABBY,15-25,KRABBY,20-30,GYARADOS,15-25,SLOWPOKE,15-25,GYARADOS,25-35
